,Title,Authors,Published,Link
22,High intake of dietary phytochemical index may be related to reducing risk of diabetic nephropathy: a case–control study,"Niki Bahrampour, Atieh Mirzababaei, Dorsa Hosseininasab, Faezeh Abaj, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Khadijeh Mirzaei",2023-12-01,https://pureportal.coventry.ac.uk/en/publications/high-intake-of-dietary-phytochemical-index-may-be-related-to-redu
23,Human-in-the-loop machine learning with applications for population health,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/long-chen"" rel=""Person""><span>Long Chen</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Bin Guo, Liming Chen",2023-03-01,https://pureportal.coventry.ac.uk/en/publications/human-in-the-loop-machine-learning-with-applications-for-populati
24,"Is camouflaging autistic traits associated with defeat, entrapment and suicidal thoughts? Expanding the Integrated Motivational-Volitional Model of Suicide","Sarah Cassidy, Emily McLaughlin, Rachel McGranaghan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/mirabel-pelton"" rel=""Person""><span>Mirabel Pelton</span></a>, Rory O'Connor, Jacqui Rodgers",2023-05-02,https://pureportal.coventry.ac.uk/en/publications/is-camouflaging-autistic-traits-associated-with-defeat-entrapment
25,"""Is it time to throw out the weighing scales?"" Implicit weight bias among healthcare professionals working in bariatric surgery services and their attitude towards non-weight focused approaches","<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sally-abbott"" rel=""Person""><span>S Abbott</span></a>, E Shuttlewood, S W Flint, P Chesworth, H M Parretti",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/is-it-time-to-throw-out-the-weighing-scales-implicit-weight-bias-
26,Leadless pacemaker implantation and azygos continuation in the inferior vena cava: a case description,"Xinhong Wang, Xinfa Ding, Mengxi Xu, Cong Chen, Linlin Ma, Rui Wang, Rongliang Chen, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>",2023-04-01,https://pureportal.coventry.ac.uk/en/publications/leadless-pacemaker-implantation-and-azygos-continuation-in-the-in
27,Listening to music during a repeated sprint test improves performance and psychophysiological responses in healthy and physically active male adults,"Nidhal Jebabli, Abderraouf Ben Aabderrahman, Daniel Boullosa, Hamdi Chtourou, Nejmeddine Ouerghi, Fatma Rhibi, Karuppasamy Govindasamy, Ayoub Saeidi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Urs Granacher, Hassane Zouhal",2023-02-21,https://pureportal.coventry.ac.uk/en/publications/listening-to-music-during-a-repeated-sprint-test-improves-perform
28,Mediators of dietary diversity score (DDS) on NAFLD in Iranian adults: a structural equation modeling study,"Azam Doustmohammadian, Bahareh Amirkalali, Esmaeel Gholizadeh, Mahmoodreza Khoonsari, Amir Hossein Faraji, Mehdi Nikkhah, Mansooreh Maadi, Nima Motamed, Mohsen Reza Mansourian, Melika Hajjar, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Samira Chaibakhsh, Fahimeh Safarnezhad Tameshkel, Arian Afzali, Farhad Zamani",2023-03-01,https://pureportal.coventry.ac.uk/en/publications/mediators-of-dietary-diversity-score-dds-on-nafld-in-iranian-adul
29,Mobile and wearable systems for health monitoring,"Mohamed Elgendi, Richard Ribon Fletcher, Derek Abbott, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>, Panicos Kyriacou, Carlo Menon",2023-04-20,https://pureportal.coventry.ac.uk/en/publications/mobile-and-wearable-systems-for-health-monitoring
30,Needs of parents and carers of children and young people with mental health difficulties:  protocol for a systematic review,"Faith Martin, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dania-dahmash"" rel=""Person""><span>Dania Dahmash</span></a>, Sarah Glover, Charlie Duncan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/andy-turner"" rel=""Person""><span>Andy Turner</span></a>, Sarah L Halligan",2023-02-16,https://pureportal.coventry.ac.uk/en/publications/needs-of-parents-and-carers-of-children-and-young-people-with-men
31,Oral vitamin D supplementation and body weight in children and adolescents: a systematic review and meta-analysis of randomized controlled trials,"Sepideh Soltani, Sara Beigrezaei, Shima Abdollahi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Marziyeh Ashoori",2023-05-01,https://pureportal.coventry.ac.uk/en/publications/oral-vitamin-d-supplementation-and-body-weight-in-children-and-ad
32,Perceived Support from Best Friends and Depressive Symptoms During Adolescence: Disentangling Personal from Dyadic Level Effects:  Disentangling Individual from Dyadic Level Effects,"Steffie van der Mey-Baijens, Marieke Buil, Patricia Vuijk, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/kim-bul"" rel=""Person""><span>Kim Bul</span></a>, Susan Branje, Wim Meeus, Pol van Lier",2023-04-01,https://pureportal.coventry.ac.uk/en/publications/perceived-support-from-best-friends-and-depressive-symptoms-durin
33,"Performance, muscle damage, and inflammatory responses to repeated high-intensity exercise following a 40-min nap","Omar Boukhris, Khaled Trabelsi, Achraf Ammar, Hsen Hsouna, Raouf Abdessalem, Stefan Altmann, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Mouna Turki, Fatma Ayadi, Florian Engel, Hamdi Chtourou",2023-07-04,https://pureportal.coventry.ac.uk/en/publications/performance-muscle-damage-and-inflammatory-responses-to-repeated-
34,Physical activity and asthma symptom control in children during COVID-19 lockdown: A feasibility study,"Xiaorong Ding, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/maxine-whelan"" rel=""Person""><span>Maxine E Whelan</span></a>, David A Clifton, Tingting Zhu",2023-02-20,https://pureportal.coventry.ac.uk/en/publications/physical-activity-and-asthma-symptom-control-in-children-during-c
35,Predictive Value of CT Perfusion in Hemorrhagic Transformation after Acute Ischemic Stroke: A Systematic Review and Meta-Analysis,"Jie Xu, Fangyu Dai, Binda Wang, Yiming Wang, Jiaqian Li, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Songbin He",2023-01-16,https://pureportal.coventry.ac.uk/en/publications/predictive-value-of-ct-perfusion-in-hemorrhagic-transformation-af
36,Preferences for Digital Intervention in People with Schizophrenia,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sri-padma-sari"" rel=""Person""><span>Sri Padma Sari</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/deborah-lycett"" rel=""Person""><span>Deborah Lycett</span></a>, Faith Martin, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/andy-turner"" rel=""Person""><span>Andy Turner</span></a>",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/preferences-for-digital-intervention-in-people-with-schizophrenia
37,PresSafe: Barometer-based On-screen Pressure Assisted Implicit Authentication for Smartphones,"Muyan Yao, Dan Tao, Ruipeng Gao, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Sumi Helal, Shiwen Mao",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/pressafe-barometer-based-on-screen-pressure-assisted-implicit-aut
38,Profiling the Biomechanical Responses to Workload on the Human Myocyte to Explore the Concept of Myocardial Fatigue and Reversibility: Rationale and Design of the POWER Heart Failure Study,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/patrick-tran"" rel=""Person""><span>Patrick Tran</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/adam-michael-linekar"" rel=""Person""><span>Adam Linekar</span></a>, Uday Dandekar, Thomas Barker, Sendhil Balasubramanian, Jain Bhaskara-Pillai, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sharn-shelley"" rel=""Person""><span>Sharn Shelley</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/helen-maddock"" rel=""Person""><span>Helen Maddock</span></a>, Prithwish Banerjee",2023-05-01,https://pureportal.coventry.ac.uk/en/publications/profiling-the-biomechanical-responses-to-workload-on-the-human-my
39,Psychological Therapies for Severe Mental Health Problems. Training Delivery Evaluation,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey"" rel=""Person""><span>Rosie Kneafsey</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sally-pezaro"" rel=""Person""><span>Sally Pezaro</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/ksenija-maravic-da-silva"" rel=""Person""><span>Ksenija Maravic da Silva</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/vickie-presley"" rel=""Person""><span>Vickie Presley</span></a>, Sean Russell, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau"" rel=""Person""><span>Patricia Bluteau</span></a>, Natasha Bayes, Faith Martin",2023-01-16,https://pureportal.coventry.ac.uk/en/publications/psychological-therapies-for-severe-mental-health-problems-trainin
40,Real-Time Evaluation of Time-Domain Pulse Rate Variability Parameters in Different Postures and Breathing Patterns Using Wireless Photoplethysmography Sensor: Towards Remote Healthcare in Low-Resource Communities,"Felipe Pineda-Alpizar, Sergio Arriola-Valverde, Mitzy Vado-Chacón, Diego Sossa-Rojas, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>",2023-04-24,https://pureportal.coventry.ac.uk/en/publications/real-time-evaluation-of-time-domain-pulse-rate-variability-parame
41,Remote maintenance cardiac rehabilitation (MAINTAIN): A protocol for a randomised feasibility study,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/francesca-denton"" rel=""Person""><span>Francesca Denton</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/alexander-james-robert-waddell"" rel=""Person""><span>Alexander Waddell</span></a>, Chris Kite, Katie Hesketh, Lou Atkinson, Matthew Cocks, Helen Jones, Harpal Randeva, Nathan Davenport, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/richard-james-powell"" rel=""Person""><span>Richard Powell</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou"" rel=""Person""><span>Ioannis Kyrou</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/amy-read"" rel=""Person""><span>Amy E Harwood</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor"" rel=""Person""><span>Gordon McGregor</span></a>",2023-02-15,https://pureportal.coventry.ac.uk/en/publications/remote-maintenance-cardiac-rehabilitation-maintain-a-protocol-for
42,Resveratrol May Mildly Improve Renal Function in the General Adult Population: A Systematic Review and Meta-analysis of Randomized Controlled Clinical Trials,"Shima Abdollahi, Mahdi Vajdi, Fatemeh Meshkini, Azam Ahmadi Vasmehjani, Zohreh Sadat Sangsefidi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Sepideh Soltani",2023-05-01,https://pureportal.coventry.ac.uk/en/publications/resveratrol-may-mildly-improve-renal-function-in-the-general-adul
43,Risk stratification in symptomatic intracranial atherosclerotic disease with conventional vascular risk factors and cerebral haemodynamics,"Xuan Tian, Hui Fang, Linfang Lan, Hing Lung Ip, Jill Abrigo, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Lina Zheng, Florence S.Y. Fan, Sze Ho Ma, Bonaventure Ip, Bo Song, Yuming Xu, Jingwei Li, Bing Zhang, Yun Xu, Yannie O.Y. Soo, Vincent Mok, Ka Sing Wong, Thomas W. Leung, Xinyi Leng",2023-02-01,https://pureportal.coventry.ac.uk/en/publications/risk-stratification-in-symptomatic-intracranial-atherosclerotic-d
44,Sexual violence: A snapshot of those harming LGBT+ people,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sarah-west"" rel=""Person""><span>Sarah West</span></a>, Catherine Bewley, Lou Withers-Green, Erin Carlisle",2023-02-02,https://pureportal.coventry.ac.uk/en/publications/sexual-violence-a-snapshot-of-those-harming-lgbt-people
45,Spiritual Care within Dietetic Practice: A Systematic Literature Review,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/deborah-lycett"" rel=""Person""><span>Deborah Lycett</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/riya-patel"" rel=""Person""><span>Riya Patel</span></a>",2023-04-01,https://pureportal.coventry.ac.uk/en/publications/spiritual-care-within-dietetic-practice-a-systematic-literature-r
46,The association between dietary acid load and risk of attention-deficit hyperactivity disorder: a case-control study,"Fatemeh Ghasemi, Khadijeh Abbasi, Reza Ghiasvand, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Mohammad Hossein Rouhani",2023-04-03,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-acid-load-and-risk-of-attention-d
47,The Association between Dietary Patterns and Chemotherapy Side Effects in Patients with Breast Cancer (BrCa),"Vahid Sanati, Mohammad Hassan Sohouli, Homa Dareini, Ahmad Esmailzadeh, Akram-Sadat Sajadian, Mahsa Raji Lahiji, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Mitra Zarrati",2023-03-16,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-patterns-and-chemotherapy-side-ef
48,The association between fatty acid quality indices and quality of life among overweight and obese women: A cross-sectional study,"Niloufar Rasaei, Elnaz Daneshzad, Neda Soveid, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Khadijeh Mirzaei",2023-01-26,https://pureportal.coventry.ac.uk/en/publications/the-association-between-fatty-acid-quality-indices-and-quality-of
49,The association between glycemic index and glycemic load and quality of life among overweight and obese women: a cross-sectional study,"Niloufar Rasaei, Melika Fallah, Fatemeh Gholami, Mehdi Karimi, Sahar Noori, Niki Bahrampour, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Khadijeh Mirzaei",2023-02-13,https://pureportal.coventry.ac.uk/en/publications/the-association-between-glycemic-index-and-glycemic-load-and-qual
50,The association between healthy beverage index and quality of life among overweight and obese women:  a cross-sectional study,"Niloufar Rasaei, Rasool Ghaffarian-Ensaf, Farideh Shiraseb, Melika Fallah, Fatemeh Gholami, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Khadijeh Mirzaei",2023-01-26,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-quality-of-lif
